,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./resultspreTrained_skipGram_v300_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,300,Skip-Gram,-,0.6844309523809524,0.3811984126984127,0.17009641401076114,0.30400000000000005,0.2724763541033365
./resultspreTrained_skipGram_v100_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,100,Skip-Gram,-,0.6727531746031746,0.3800634920634921,0.1676703077576615,0.30400000000000005,0.2684378392516811
./resultspreTrained_cbow_v300_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,300,CBOW,-,0.6743058730158731,0.3988015873015873,0.17362444257090964,0.332,0.27614528970733376
./resultspreTrained_cbow_v100_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,100,CBOW,-,0.6679280952380953,0.3713492063492064,0.1678966948029074,0.29600000000000004,0.2683407357443333
./results/trainedOnFullCorpustrained_cbow_v100_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,100,CBOW,-,0.7464334920634921,0.4563095238095238,0.19963077829112516,0.42,0.3150126341994563
./results/trainedOnFullCorpustfidf_BiTri_Sent,TF-IDF,Full,Sentences,-,-,-,Bigrams and Trigrams,0.6788422222222222,0.4215476190476191,0.1858336168370267,0.35200000000000004,0.2917895926281249
./results/trainedOnFullCorpusBM25PlusSent,BM25,Full,Sentences,-,-,-,-,0.0912,0.084,0.020176447322463285,0.02,0.0330427489841028
./results/trainedOnFullCorpusLDASentCossim-40topics,LDA,Full,Sentences,40,-,-,-,0.0956,0.084,0.040342042054787225,0.04,0.05674034554936781
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-80topics,LDA,Full,Concepts & Relations,80,-,-,-,0.3692557142857142,0.2729920634920635,0.2759043042755393,0.3120000000000001,0.31582626951051385
./results/trainedOnFullCorpusLDAConceptsCossim-20topics,LDA,Full,Concepts,20,-,-,-,0.48866126984127,0.2874603174603174,0.18156951777711694,0.239,0.26476250497746884
./results/trainedOnFullCorpustrained_skipGram_v100_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,100,Skip-Gram,-,0.7131638095238095,0.4136111111111112,0.18598907340531545,0.376,0.2950347569090617
./results/trainedOnFullCorpusdoc2vec_v200_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,200,-,-,0.6876861904761903,0.4458412698412698,0.19337903471264295,0.392,0.30187116208337184
./results/trainedOnFullCorpustrained_cbow_v100_Full_Full_Cossim,Word2Vec,Full,Full,-,100,CBOW,-,0.7606825396825397,0.41971428571428576,0.19567236772489766,0.35600000000000004,0.311274721285575
./results/trainedOnFullCorpusLDAConceptsCossim-40topics,LDA,Full,Concepts,40,-,-,-,0.4000085714285715,0.2583888888888889,0.2231143208285647,0.26099999999999995,0.2864527747218809
./results/trainedOnFullCorpustfidf_BiTri_Full,TF-IDF,Full,Full,-,-,-,Bigrams and Trigrams,0.7099980952380952,0.4619841269841269,0.2055951544428216,0.4320000000000001,0.3188581132406917
./results/trainedOnFullCorpusLDAConceptsCossim-80topics,LDA,Full,Concepts,80,-,-,-,0.3655136507936507,0.2798571428571429,0.2581144734213155,0.2753333333333334,0.30256609617043195
./results/trainedOnFullCorpustrained_cbow_v300_Full_Full_Cossim,Word2Vec,Full,Full,-,300,CBOW,-,0.7553368253968253,0.43759523809523815,0.19523739450368754,0.388,0.31027560115946995
./results/trainedOnFullCorpusdoc2vec_v200_Full_Full_Cossim,Doc2Vec,Full,Full,-,200,-,-,0.7045158730158729,0.3790873015873016,0.19219769493638386,0.32,0.3020057500612152
./results/trainedOnFullCorpustfidf_BiTri_Con,TF-IDF,Full,Concepts,-,-,-,Bigrams and Trigrams,0.6874587301587302,0.3792380952380952,0.17986229155153274,0.3280000000000001,0.2851260362850096
./results/trainedOnFullCorpusBM25PlusConcepts,BM25,Full,Concepts,-,-,-,-,0.6221466666666666,0.2771190476190476,0.13578101564847306,0.204,0.2229123127533103
./results/trainedOnFullCorpusdoc2vec_v300_Full_Full_Cossim,Doc2Vec,Full,Full,-,300,-,-,0.6927911111111112,0.3930873015873016,0.18990079492332299,0.332,0.2980917391819381
./results/trainedOnFullCorpustrained_cbow_v100_Full_Con_Cossim,Word2Vec,Full,Concepts,-,100,CBOW,-,0.7335355555555555,0.4303095238095239,0.1923761542867846,0.396,0.3048125381942219
./results/trainedOnFullCorpusLDAFullCossim-20topics,LDA,Full,Full,20,-,-,-,0.4821198412698414,0.3066190476190476,0.20389224984065954,0.23366666666666666,0.2865853252533873
./results/trainedOnFullCorpustrained_cbow_v300_Full_Con_Cossim,Word2Vec,Full,Concepts,-,300,CBOW,-,0.7293869841269841,0.452063492063492,0.19089884480906452,0.4,0.3025997539255483
./results/trainedOnFullCorpustfidf_UniBi_Sent,TF-IDF,Full,Sentences,-,-,-,Unigrams and Bigrams,0.7120303174603174,0.4106507936507937,0.19094138249950554,0.35200000000000004,0.3011302640015941
