,,,,,,,Experts Mean,,,,Expert 1,,,,Expert 2,,,,Expert 3,,,
Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,R@5,mAP,P@5,mAR,R@5,mAP,P@5,mAR,R@5,mAP,P@5,mAR,R@5,mAP,P@5
Word2Vec,Full (No Stemming),Full (No Stemming),-,300,Skip-Gram,-,0.641,0.314,0.198,0.324,0.684,0.381,0.170,0.304,0.837,0.678,0.095,0.224,0.721,0.473,0.144,0.276
Word2Vec,Full (No Stemming),Full (No Stemming),-,100,Skip-Gram,-,0.629,0.316,0.197,0.328,0.673,0.380,0.168,0.304,0.821,0.668,0.092,0.216,0.708,0.464,0.142,0.268
Word2Vec,Full (No Stemming),Full (No Stemming),-,300,CBOW,-,0.629,0.325,0.201,0.348,0.674,0.399,0.174,0.332,0.843,0.694,0.096,0.224,0.720,0.489,0.146,0.288
Word2Vec,Full (No Stemming),Full (No Stemming),-,100,CBOW,-,0.622,0.307,0.196,0.312,0.668,0.371,0.168,0.296,0.806,0.630,0.092,0.208,0.710,0.467,0.141,0.260
Word2Vec,Full,Concepts & Relations,-,100,CBOW,-,0.705,0.389,0.228,0.436,0.746,0.456,0.200,0.420,0.867,0.764,0.102,0.252,0.750,0.523,0.151,0.300
TF-IDF,Full,Sentences,-,-,-,Bigrams and Trigrams,0.632,0.349,0.208,0.356,0.679,0.422,0.186,0.352,0.865,0.715,0.106,0.244,0.705,0.473,0.139,0.256
BM25,Full,Sentences,-,-,-,-,0.070,0.063,0.020,0.020,0.091,0.084,0.020,0.020,0.200,0.200,0.000,0.000,0.160,0.160,0.000,0.000
LDA,Full,Sentences,40,-,-,-,0.074,0.063,0.040,0.040,0.096,0.084,0.040,0.040,0.200,0.200,0.020,0.020,0.160,0.160,0.020,0.020
LDA,Full,Concepts & Relations,80,-,-,-,0.311,0.221,0.297,0.333,0.369,0.273,0.276,0.312,0.595,0.511,0.222,0.256,0.419,0.355,0.221,0.253
LDA,Full,Concepts,20,-,-,-,0.435,0.249,0.210,0.271,0.489,0.287,0.182,0.239,0.589,0.437,0.075,0.126,0.508,0.370,0.135,0.190
Word2Vec,Full,Concepts & Relations,-,100,Skip-Gram,-,0.681,0.378,0.215,0.404,0.713,0.414,0.186,0.376,0.836,0.741,0.103,0.264,0.749,0.530,0.149,0.308
Doc2Vec,Full,Concepts & Relations,-,200,-,-,0.661,0.387,0.226,0.428,0.688,0.446,0.193,0.392,0.840,0.711,0.105,0.256,0.752,0.516,0.154,0.308
Word2Vec,Full,Full,-,100,CBOW,-,0.697,0.330,0.218,0.364,0.761,0.420,0.196,0.356,0.876,0.684,0.101,0.220,0.725,0.481,0.141,0.264
LDA,Full,Concepts,40,-,-,-,0.359,0.223,0.244,0.277,0.400,0.258,0.223,0.261,0.626,0.536,0.142,0.182,0.509,0.368,0.165,0.206
TF-IDF,Full,Full,-,-,-,Bigrams and Trigrams,0.655,0.395,0.229,0.436,0.710,0.462,0.206,0.432,0.874,0.769,0.107,0.264,0.706,0.498,0.144,0.284
LDA,Full,Concepts,80,-,-,-,0.308,0.240,0.272,0.291,0.366,0.280,0.258,0.275,0.513,0.443,0.156,0.165,0.389,0.325,0.199,0.213
Word2Vec,Full,Full,-,300,CBOW,-,0.696,0.357,0.220,0.400,0.755,0.438,0.195,0.388,0.878,0.721,0.102,0.240,0.724,0.509,0.143,0.292
Doc2Vec,Full,Full,-,200,-,-,0.680,0.326,0.221,0.356,0.705,0.379,0.192,0.320,0.855,0.676,0.105,0.224,0.742,0.491,0.149,0.276
TF-IDF,Full,Concepts,-,-,-,Bigrams and Trigrams,0.643,0.333,0.207,0.348,0.687,0.379,0.180,0.328,0.850,0.653,0.096,0.208,0.713,0.458,0.138,0.252
BM25,Full,Concepts,-,-,-,-,0.601,0.263,0.165,0.240,0.622,0.277,0.136,0.204,0.704,0.340,0.047,0.052,0.642,0.304,0.094,0.116
