,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./resultspreTrained_skipGram_v300_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,300,Skip-Gram,-,0.6410940274895383,0.31422219765099024,0.19827794552497927,0.3240000000000001,0.3028807507175646
./resultspreTrained_skipGram_v100_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,100,Skip-Gram,-,0.6285641922680003,0.3155983586417023,0.1969217413650005,0.328,0.29989113141237245
./resultspreTrained_cbow_v300_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,300,CBOW,-,0.6291811611230187,0.3250028994053762,0.2010285619370239,0.348,0.30470224692678005
./resultspreTrained_cbow_v100_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,100,CBOW,-,0.6222928810714571,0.3070902009926778,0.1958058404265212,0.3120000000000001,0.2978823395458368
./results/trainedOnFullCorpustrained_cbow_v100_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,100,CBOW,-,0.7054908215107907,0.3891904516192442,0.2284138442622312,0.436,0.3450970458523527
./results/trainedOnFullCorpustfidf_BiTri_Sent,TF-IDF,Full,Sentences,-,-,-,Bigrams and Trigrams,0.6318323630720845,0.3492970888760362,0.2080792575063121,0.35600000000000004,0.3130596261686715
./results/trainedOnFullCorpusBM25PlusSent,BM25,Full,Sentences,-,-,-,-,0.07005714285714286,0.06285714285714286,0.020176447322463285,0.02,0.031329890556408266
./results/trainedOnFullCorpusLDASentCossim-40topics,LDA,Full,Sentences,40,-,-,-,0.07445714285714286,0.06285714285714286,0.040342042054787225,0.04,0.052330566470947186
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-80topics,LDA,Full,Concepts & Relations,80,-,-,-,0.31054321637426896,0.22071637426900584,0.2966171203071169,0.3333333333333333,0.30342046081373925
./results/trainedOnFullCorpusLDAConceptsCossim-20topics,LDA,Full,Concepts,20,-,-,-,0.4345942391801525,0.2491764460170033,0.21022463139608452,0.271,0.28337388344998066
./results/trainedOnFullCorpustrained_skipGram_v100_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,100,Skip-Gram,-,0.6814421302124088,0.3782537225416482,0.2152983550153165,0.404,0.3272147786114668
./results/trainedOnFullCorpusdoc2vec_v200_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,200,-,-,0.6608407234148721,0.3874229597372012,0.22564857329796356,0.4280000000000001,0.3364231626229423
./results/trainedOnFullCorpustrained_cbow_v100_Full_Full_Cossim,Word2Vec,Full,Full,-,100,CBOW,-,0.6966132302853666,0.3296695660720428,0.21797789462717013,0.364,0.3320528292280497
./results/trainedOnFullCorpusLDAConceptsCossim-40topics,LDA,Full,Concepts,40,-,-,-,0.3585068538994544,0.2227426409160156,0.24408382025767394,0.277,0.2904317183824225
./results/trainedOnFullCorpustfidf_BiTri_Full,TF-IDF,Full,Full,-,-,-,Bigrams and Trigrams,0.6549222748802626,0.3954845843870611,0.22870382979812265,0.436,0.33901948277033234
./results/trainedOnFullCorpusLDAConceptsCossim-80topics,LDA,Full,Concepts,80,-,-,-,0.307786507936508,0.2399862155388471,0.2722219337387758,0.2913333333333334,0.2889138583127339
./results/trainedOnFullCorpustrained_cbow_v300_Full_Full_Cossim,Word2Vec,Full,Full,-,300,CBOW,-,0.6959269480639759,0.3568362327387095,0.2204925906832461,0.4,0.3348831604238339
./results/trainedOnFullCorpusdoc2vec_v200_Full_Full_Cossim,Doc2Vec,Full,Full,-,200,-,-,0.6795444512487856,0.32615742788343405,0.22105704859975986,0.35600000000000004,0.33359502690293585
./results/trainedOnFullCorpustfidf_BiTri_Con,TF-IDF,Full,Concepts,-,-,-,Bigrams and Trigrams,0.6432901439874195,0.3330536635706914,0.2066588465686295,0.348,0.3128225355698943
./results/trainedOnFullCorpusBM25PlusConcepts,BM25,Full,Concepts,-,-,-,-,0.6005529894872929,0.2633605242366852,0.16545047052594972,0.24,0.2594290492753664
./results/trainedOnFullCorpusdoc2vec_v300_Full_Full_Cossim,Doc2Vec,Full,Full,-,300,-,-,0.6694237149056653,0.3403917882942651,0.21808436816306692,0.364,0.32899046371224755
./results/trainedOnFullCorpustrained_cbow_v100_Full_Con_Cossim,Word2Vec,Full,Concepts,-,100,CBOW,-,0.6994342025501159,0.3712756646518257,0.22288157130065536,0.41200000000000003,0.3380425630907913
./results/trainedOnFullCorpusLDAFullCossim-20topics,LDA,Full,Full,20,-,-,-,0.4176642524108158,0.25258413189837337,0.21992068384615784,0.24966666666666665,0.2881279113886099
./results/trainedOnFullCorpustrained_cbow_v300_Full_Con_Cossim,Word2Vec,Full,Concepts,-,300,CBOW,-,0.6994117413821129,0.3782201090962701,0.22100161697139534,0.416,0.3358732777428016
./results/trainedOnFullCorpustfidf_UniBi_Sent,TF-IDF,Full,Sentences,-,-,-,Unigrams and Bigrams,0.6502208284285373,0.3343776182537792,0.2079289624240299,0.35200000000000004,0.31509590433464696
./results/trainedOnFullCorpustrained_cbow_v100_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,100,CBOW,-,0.6636053225068704,0.3195035458177873,0.2065460206619041,0.34800000000000003,0.3150372397397276
./results/trainedOnFullCorpustfidf_UniBi_Full,TF-IDF,Full,Full,-,-,-,Unigrams and Bigrams,0.6947493031598604,0.3845653349058922,0.2265679503711152,0.424,0.34170189483681024
./results/trainedOnFullCorpustrained_skipGram_v300_Full_Full_Cossim,Word2Vec,Full,Full,-,300,Skip-Gram,-,0.6994406239202834,0.359062025349951,0.22422815485955735,0.404,0.3395898706084655
./results/trainedOnFullCorpusLDASentCossim-20topics,LDA,Full,Sentences,20,-,-,-,0.07525714285714286,0.06285714285714286,0.020380749537780414,0.02,0.0320750895088066
./results/trainedOnFullCorpusBM25PlusConceptsAndRelations,BM25,Full,Concepts & Relations,-,-,-,-,0.5959149824788215,0.2633605242366852,0.1640608599663438,0.24,0.2572879795172129
./results/trainedOnFullCorpusdoc2vec_v200_Full_Sent_Cossim,Doc2Vec,Full,Sentences,-,200,-,-,0.5741111518615544,0.16408567043551564,0.15556065033841845,0.16399999999999998,0.24479253242582055
./results/trainedOnFullCorpusLDAConceptsCossim-10topics,LDA,Full,Concepts,10,-,-,-,0.5059123403531453,0.29161934058373684,0.23444306570597576,0.317,0.3204073046004205
./results/trainedOnFullCorpusdoc2vec_v100_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,100,-,-,0.6443269055368436,0.380590682966844,0.22058233019283,0.42,0.3286521275480381
./results/trainedOnFullCorpustrained_skipGram_v300_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,300,Skip-Gram,-,0.653402464040947,0.33449666587282684,0.2071288943993573,0.376,0.3145464221545988
./results/trainedOnFullCorpusLDAFullCossim-10topics,LDA,Full,Full,10,-,-,-,0.42674147930157225,0.2210812079217652,0.1804150267446947,0.224,0.2536103117880346
./results/trainedOnFullCorpustfidf_UniBi_ConRel,TF-IDF,Full,Concepts & Relations,-,-,-,Unigrams and Bigrams,0.6761990367699036,0.3745701262961325,0.22233514542037106,0.404,0.3346401598364893
./results/trainedOnFullCorpusdoc2vec_v300_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,300,-,-,0.6350973823699521,0.3682683745563003,0.2152176269137164,0.392,0.3214906240639481
./results/trainedOnFullCorpusBM25PlusFull,BM25,Full,Full,-,-,-,-,0.5986715872637854,0.26219385757001856,0.16473686249699246,0.236,0.2583761785262793
./results/trainedOnFullCorpustrained_cbow_v300_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,300,CBOW,-,0.7007831612213036,0.3698489606368863,0.2218523564902786,0.408,0.33701368031282186
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Full_Cossim,Word2Vec,Full,Full,-,100,Skip-Gram,-,0.6908127095264556,0.3552633620249719,0.21726842496050172,0.4,0.3305691168803053
