,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./resultspreTrained_skipGram_v300_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,300,Skip-Gram,-,0.8367733333333334,0.6776666666666666,0.09478053363837853,0.22399999999999995,0.17027426084444885
./resultspreTrained_skipGram_v100_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,100,Skip-Gram,-,0.8212799999999999,0.6676666666666666,0.09211900292391732,0.216,0.16565705563323596
./resultspreTrained_cbow_v300_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,300,CBOW,-,0.8427466666666668,0.6943333333333334,0.0962820887804709,0.22399999999999995,0.1728198607524192
./resultspreTrained_cbow_v100_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,100,CBOW,-,0.8060533333333333,0.6303333333333333,0.09153480922347956,0.208,0.16440042953429815
./results/trainedOnFullCorpustrained_cbow_v100_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,100,CBOW,-,0.8669933333333333,0.7636666666666667,0.10157820455466507,0.252,0.18185053497008305
./results/trainedOnFullCorpustfidf_BiTri_Sent,TF-IDF,Full,Sentences,-,-,-,Bigrams and Trigrams,0.8651466666666667,0.715,0.10623420860448388,0.244,0.1892319970464425
./results/trainedOnFullCorpusBM25PlusSent,BM25,Full,Sentences,-,-,-,-,0.2,0.2,0.0,0.0,0.0
./results/trainedOnFullCorpusLDASentCossim-40topics,LDA,Full,Sentences,40,-,-,-,0.2,0.2,0.02,0.02,0.03636363636363637
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-80topics,LDA,Full,Concepts & Relations,80,-,-,-,0.5952466666666666,0.511,0.22223035205988426,0.256,0.32363448333231903
./results/trainedOnFullCorpusLDAConceptsCossim-20topics,LDA,Full,Concepts,20,-,-,-,0.5886733333333333,0.4366666666666667,0.07461665786075128,0.126,0.1324453475500387
./results/trainedOnFullCorpustrained_skipGram_v100_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,100,Skip-Gram,-,0.8360466666666666,0.741,0.10302070772674117,0.264,0.18343757144841447
./results/trainedOnFullCorpusdoc2vec_v200_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,200,-,-,0.8397866666666667,0.7106666666666667,0.10499118713723801,0.256,0.18664747214461624
./results/trainedOnFullCorpustrained_cbow_v100_Full_Full_Cossim,Word2Vec,Full,Full,-,100,CBOW,-,0.8762466666666665,0.6843333333333333,0.10067670961626092,0.22,0.18060296918653687
./results/trainedOnFullCorpusLDAConceptsCossim-40topics,LDA,Full,Concepts,40,-,-,-,0.6261733333333334,0.5363333333333333,0.14185193726613388,0.182,0.2313046296729173
./results/trainedOnFullCorpustfidf_BiTri_Full,TF-IDF,Full,Full,-,-,-,Bigrams and Trigrams,0.8736733333333332,0.769,0.10738361684685976,0.264,0.19125944209202872
./results/trainedOnFullCorpusLDAConceptsCossim-80topics,LDA,Full,Concepts,80,-,-,-,0.5129799999999999,0.443,0.156393650910493,0.16533333333333336,0.2397071200365861
