,mAR,recall@5,mAP,precision@5,f1
trainedLDAConceptsCossim-80topics,0.617,0.6419999999999999,0.3736055555555555,0.36233333333333334,0.4654014435614579
trainedLDAFullCossim-80topics,0.5283999999999999,0.544,0.35805952380952377,0.34333333333333327,0.4268636013246918
trainedLDAConceptsAndRelationsCossim-80topics,0.6009,0.6516666666666666,0.3150412698412698,0.315,0.41336340064778526
tfidfTextFullCossim,0.7371666666666666,0.7666666666666666,0.26347777777777776,0.26,0.38820389452723053
tfidfTextConceptsCossim,0.6988333333333334,0.7416666666666666,0.25968174603174604,0.26,0.3786570792509468
tfidfTextConceptsAndRelationsCossim,0.6844999999999999,0.7383333333333333,0.25668174603174604,0.26,0.3733575494839736
preTrainedCbow300Cossim,0.6958666666666666,0.7419999999999999,0.24908650793650794,0.24400000000000002,0.3668562689621249
trainedDoc2VecFullCossim,0.6517333333333333,0.6766666666666665,0.24821825396825398,0.22799999999999998,0.35951291677359476
trainedLDAConceptsCossim-40topics,0.6231666666666666,0.6409999999999999,0.25243015873015867,0.23033333333333336,0.35931162841007
trainedCbowConceptsAndRelationsCossim,0.6704,0.7116666666666666,0.24303968253968256,0.23600000000000002,0.35674781003949835
tfidfSentFullCossim,0.6695333333333332,0.716,0.2429396825396825,0.23600000000000002,0.356517316392338
trainedDoc2VecConceptsCossim,0.6392333333333334,0.6463333333333332,0.2370142857142857,0.22400000000000003,0.3458096287198661
trainedCbowFullCossim,0.6520666666666667,0.6689999999999999,0.22978809523809524,0.21600000000000003,0.3398227548898111
trainedCbowConceptsCossim,0.6560666666666666,0.6990000000000001,0.22334285714285712,0.22799999999999998,0.33324133942688816
trainedDoc2VecConceptsAndRelationsCossim,0.6119,0.6399999999999999,0.22828809523809518,0.21600000000000003,0.33251955429481495
trainedCbowSentCossim,0.6329666666666667,0.6393333333333334,0.22421666666666665,0.20800000000000002,0.33113494066483895
trainedLDAFullCossim-40topics,0.5468999999999999,0.5760000000000001,0.22277539682539685,0.21266666666666667,0.3165902535700992
trainedLDAConceptsCossim-20topics,0.579,0.609,0.2040095238095238,0.19866666666666666,0.30171156465894716
trainedLDAConceptsAndRelationsCossim-40topics,0.46950000000000003,0.473,0.1995547619047619,0.17600000000000002,0.28006963270854757
trainedLDASentCossim-80topics,0.5944333333333333,0.6366666666666666,0.1761769841269841,0.188,0.2717987796383475
trainedLDASentCossim-40topics,0.5629,0.5469999999999999,0.16127539682539682,0.14400000000000002,0.250718047785056
trainedLDAFullCossim-20topics,0.5342666666666667,0.549,0.16315793650793647,0.156,0.24997640313094469
trainedLDAConceptsCossim-10topics,0.49490000000000006,0.4746666666666667,0.1671388888888889,0.14800000000000002,0.24988573178816287
trainedLDAConceptsAndRelationsCossim-10topics,0.48683333333333334,0.48,0.16476587301587303,0.15200000000000002,0.2462050855749692
trainedLDAConceptsAndRelationsCossim-20topics,0.47536666666666666,0.477,0.15853492063492064,0.12933333333333333,0.23777260786896304
trainedLDAFullCossim-10topics,0.5098333333333332,0.5156666666666666,0.1464611111111111,0.124,0.22755260878275613
trainedDoc2VecSentCossim,0.4549666666666667,0.4676666666666667,0.12715555555555555,0.128,0.19876079988293155
trainedLDASentCossim-10topics,0.4899,0.485,0.12425079365079368,0.11599999999999999,0.19822644353410956
trainedLDASentCossim-20topics,0.4709999999999999,0.46166666666666667,0.10339126984126985,0.10799999999999998,0.1695613796800754
BM25PlusSent,0.43760000000000004,0.41833333333333333,0.08495714285714286,0.076,0.14228968533858224
BM25PlusConceptsAndRelations,0.37316666666666665,0.36666666666666664,0.052717460317460316,0.052000000000000005,0.09238380909430864
BM25PlusConcepts,0.3791666666666666,0.36666666666666664,0.051508730158730164,0.052000000000000005,0.09069658337802136
BM25PlusFull,0.37,0.36666666666666664,0.049838095238095244,0.052000000000000005,0.08784384002903615
