,mAR,recall@5,mAP,precision@5,f1
tfidfTextFullCossim,0.37121682656868416,0.39548458438706113,0.41728095238095236,0.436,0.3929033538604535
tfidfTextConceptsCossim,0.3703393434566809,0.39504759447638704,0.4082063492063492,0.42,0.38835195617827256
tfidfTextConceptsAndRelationsCossim,0.3644364833652759,0.376015848444641,0.4037531746031746,0.40800000000000003,0.3830886958022294
trainedDoc2VecFullCossim,0.3604078202671082,0.3720725323867739,0.40179126984126984,0.38799999999999996,0.3799760919296165
trainedCbowConceptsAndRelationsCossim,0.348269347388078,0.35488070666863236,0.3970285714285714,0.392,0.37105398519129895
trainedCbowConceptsCossim,0.34307842645830267,0.33427753206545774,0.38406825396825395,0.364,0.3624180258836372
trainedCbowFullCossim,0.3379454851306245,0.341921666912379,0.36955,0.35200000000000004,0.353041840279629
trainedLDASentCossim-40topics,0.3316555270151245,0.32984294824542504,0.2971357142857142,0.29200000000000004,0.3134480744756282
trainedDoc2VecConceptsAndRelationsCossim,0.32306664152840625,0.331310981072591,0.36523492063492063,0.348,0.3428590770811552
trainedDoc2VecConceptsCossim,0.32099764815507853,0.3207218120716573,0.36529999999999996,0.34800000000000003,0.34171890632664254
trainedLDASentCossim-80topics,0.3185717130306914,0.30995890744961957,0.3075047619047619,0.316,0.3129404240119213
preTrainedCbow300Cossim,0.31391480171015773,0.3250028994053762,0.35758809523809526,0.348,0.3343312337764344
tfidfSentFullCossim,0.299808755864019,0.3158843904633378,0.3224849206349206,0.32400000000000007,0.31073368247741534
trainedCbowSentCossim,0.2980030833115972,0.3049261048548974,0.3384912698412698,0.332,0.31695942497240015
trainedLDAConceptsCossim-20topics,0.2973269841269841,0.30339097744360904,0.33253730158730155,0.33333333333333326,0.31394798921978395
trainedLDAConceptsCossim-40topics,0.29638524251805987,0.30770529264337315,0.36928492063492063,0.35600000000000004,0.32884334260146236
trainedLDAConceptsCossim-10topics,0.29086641660712864,0.2866114040758003,0.34965873015873017,0.32400000000000007,0.31756436851915276
trainedLDAFullCossim-20topics,0.2863579686395476,0.29991857849752585,0.335052380952381,0.33,0.30879730040020525
trainedLDASentCossim-20topics,0.2836556105573133,0.244621207997369,0.23804365079365075,0.228,0.25885571288835063
trainedLDAConceptsAndRelationsCossim-10topics,0.2824814814184783,0.2927161531279178,0.26274126984126983,0.264,0.2722540208127717
trainedLDAConceptsAndRelationsCossim-80topics,0.2806238414664112,0.30173620325323114,0.44648174603174606,0.444,0.3446361157728738
trainedLDASentCossim-10topics,0.26445746644136736,0.2668584923848082,0.23325476190476194,0.22399999999999998,0.24787803013679943
trainedLDAFullCossim-40topics,0.262260066833751,0.284906850459482,0.31059682539682537,0.30700000000000005,0.2843891564950767
BM25PlusFull,0.24797548981805945,0.26219385757001856,0.21634603174603179,0.23600000000000002,0.23108346566274962
trainedLDAFullCossim-80topics,0.24770183792815376,0.2589256474519632,0.4874603174603175,0.4663333333333334,0.3284848537617078
BM25PlusConceptsAndRelations,0.2463289086214783,0.2662176670938281,0.21841031746031744,0.244,0.2315310269170241
BM25PlusConcepts,0.2459202816619225,0.2662176670938281,0.21837619047619045,0.244,0.23133121827463496
trainedLDAConceptsCossim-80topics,0.24562911445279867,0.25533834586466164,0.4743261904761905,0.4653333333333333,0.32365431945786594
trainedLDAFullCossim-10topics,0.24447595478137277,0.2543371248634406,0.2546952380952381,0.252,0.24948098928855467
trainedLDAConceptsAndRelationsCossim-40topics,0.2409084893606565,0.23779259423067473,0.31270158730158726,0.2886666666666667,0.2721499127027812
trainedLDAConceptsAndRelationsCossim-20topics,0.21987815050446632,0.20937179487179486,0.24308730158730155,0.21066666666666667,0.23090097130419415
BM25PlusSent,0.20652064663922248,0.18508087904527534,0.18042777777777777,0.172,0.19259445955613264
trainedDoc2VecSentCossim,0.20535581601061476,0.21272601375232955,0.18906587301587302,0.19200000000000003,0.19687445043280308
