,BM25PlusConcepts,BM25PlusConceptsAndRelations,BM25PlusFull,BM25PlusSent,exp1,exp2,preTrainedCbow300Cossim,tfidfSentFullCossim,tfidfTextConceptsAndRelationsCossim,tfidfTextConceptsCossim,tfidfTextFullCossim,trainedCbowConceptsAndRelationsCossim,trainedCbowConceptsCossim,trainedCbowFullCossim,trainedCbowSentCossim,trainedDoc2VecConceptsAndRelationsCossim,trainedDoc2VecConceptsCossim,trainedDoc2VecFullCossim,trainedDoc2VecSentCossim,trainedLDAConceptsAndRelationsCossim-10topics,trainedLDAConceptsAndRelationsCossim-20topics,trainedLDAConceptsAndRelationsCossim-40topics,trainedLDAConceptsAndRelationsCossim-80topics,trainedLDAConceptsCossim-10topics,trainedLDAConceptsCossim-20topics,trainedLDAConceptsCossim-40topics,trainedLDAConceptsCossim-80topics,trainedLDAFullCossim-10topics,trainedLDAFullCossim-20topics,trainedLDAFullCossim-40topics,trainedLDAFullCossim-80topics,trainedLDASentCossim-10topics,trainedLDASentCossim-20topics,trainedLDASentCossim-40topics,trainedLDASentCossim-80topics
BM25PlusConcepts,1.0,0.9995232215283193,0.9962525956442678,-0.010706013886076064,-3.548653384311385e-05,-0.047161978262990414,-0.03984562370150094,-0.1144274805769295,-0.03383174344811408,-0.035281553999178566,-0.03145974410119816,-0.11805526754655885,-0.13814431370916933,-0.03231698805070933,-0.2048075212472025,-0.17811648042222372,-0.16814940428116362,-0.21451833208377152,-0.0967139439707862,0.04953298376853423,-0.12763562127321063,-0.04845720303201875,-0.03635860735477618,-0.08937735242103456,0.006883653423890777,-0.046411163324703734,-0.014549468234293862,-0.058843565849634495,-0.055373119615961794,-0.012489236329878832,0.00782683579571873,0.23024679855282112,0.21475375640912567,0.23493920080516226,0.2524103236023188
BM25PlusConceptsAndRelations,0.9995232215283193,1.0,0.9974636273133533,-0.011297431572410954,-0.0013583607359311843,-0.04787699846315216,-0.03508056325627047,-0.11507277155579602,-0.03297396349989993,-0.034776233236369275,-0.03074504213064625,-0.11590708364835545,-0.13715424491191677,-0.028622269560450764,-0.20139915526555627,-0.18136877136219956,-0.17166873319736586,-0.2194861508308808,-0.1011864493559366,0.04879978819922982,-0.12861750387479323,-0.048960496494212705,-0.036820360911699136,-0.08893216127113912,0.008185219639902496,-0.0476787244312398,-0.013595824702202863,-0.0592432053284694,-0.0562044243896704,-0.011902215249026784,0.009251985108470584,0.2323032886818778,0.21387193507970206,0.23400899202837502,0.25166627952288245
BM25PlusFull,0.9962525956442678,0.9974636273133533,1.0,-0.012211972074477702,-0.0003451159181667602,-0.0506836306088535,-0.03984483321116561,-0.1190030247128069,-0.034008882873523855,-0.03674257898682376,-0.0323109923935831,-0.1262974313059184,-0.1494451865430408,-0.0410292211638609,-0.20751804421100625,-0.1982328999284808,-0.18688128895039832,-0.24160830011527365,-0.10781487145154585,0.047634082600808474,-0.135494052102856,-0.05512890457136527,-0.0421065693888806,-0.0906004510347113,0.01020493462433115,-0.05177425388238075,-0.01741534515581769,-0.05661765510373796,-0.05971172632261303,-0.008934707029904525,0.009015961105841064,0.23805476614287263,0.22063952417909077,0.23790091293727034,0.2515804389676476
BM25PlusSent,-0.010706013886076064,-0.011297431572410954,-0.012211972074477702,1.0,0.014650438310205583,-0.029839714718337546,-0.10292639398135746,-0.06376088722689187,-0.04424568014278931,-0.04180481217754449,-0.037808696934283695,-0.05495161799284113,-0.0385098168634279,-0.04270521144116012,0.005848378982875279,0.04663567246864385,0.10447460576808726,0.0726639195228689,-0.13435533320827334,-0.11125981660576696,-0.053123821132006546,-0.015433728666068885,-0.03768701699094844,-0.10689308135288511,-0.009052334711789949,0.01739480011653656,-0.034993582355391684,0.041751772198077866,-0.03261196974210978,-0.016206638130075016,-0.02723124786322519,0.34703204246826913,0.3341931017014957,0.21876413760562582,0.16711481271238982
exp1,-3.548653384311385e-05,-0.0013583607359311843,-0.0003451159181667602,0.014650438310205583,1.0,0.7564892298693215,0.438979759555647,0.33940704895660706,0.45335685754977134,0.45842848072693865,0.4488415143816078,0.3964514652495317,0.3818649686481102,0.39033571109325305,0.20283106557960096,0.2879952732296949,0.30988527773489655,0.3163229187193188,0.2003660905401541,0.20898232397884928,0.17878837304754416,0.2177185228903838,0.27778259480718076,0.22284050557489138,0.35418519034101337,0.3903298982280312,0.38522447935589305,0.15429190933661394,0.2693086032358528,0.2942918757227585,0.3344440151063254,0.05780461819131404,0.08416462837482303,0.14654574765472891,0.20719173131373186
exp2,-0.047161978262990414,-0.04787699846315216,-0.0506836306088535,-0.029839714718337546,0.7564892298693215,1.0,0.5855208103925617,0.44858161620453063,0.633804534830374,0.6428229443012319,0.6319065246606886,0.4741125029743931,0.4523969290211314,0.4880350022188307,0.22925935767459968,0.33671427063658654,0.35806568117846377,0.3722418754018026,0.23956192790258463,0.25749557999657297,0.280478110633848,0.3334545350002823,0.37595930179303705,0.27103535555391917,0.4211762918076632,0.49334435778308067,0.48024636843648233,0.1753150314094391,0.29753532448701203,0.43402876024616954,0.41512989630351266,0.022299570750325477,0.049698721815331866,0.14128239987463434,0.21602039148823254
preTrainedCbow300Cossim,-0.03984562370150094,-0.03508056325627047,-0.03984483321116561,-0.10292639398135746,0.438979759555647,0.5855208103925617,1.0,0.625439076670706,0.8032189070870929,0.7972706134198119,0.8052475662050408,0.6913569561580788,0.6745448071554729,0.7798971156517305,0.3973048576569008,0.3294327120182522,0.33132837875167803,0.3365755881261437,0.2513410079999889,0.28773756062824174,0.30104509141002955,0.40652930455755104,0.43661647211924054,0.32321507971504376,0.42242331554823986,0.4652324448358979,0.5555559388652415,0.22963974985897323,0.35357881991102064,0.48695250468331525,0.5332644201740279,0.009278634365314327,-0.0033598849419681797,0.159235996613767,0.24055636237196726
tfidfSentFullCossim,-0.1144274805769295,-0.11507277155579602,-0.1190030247128069,-0.06376088722689187,0.33940704895660706,0.44858161620453063,0.625439076670706,1.0,0.7230101852357924,0.7245948921722678,0.7255192839926198,0.4877647432339341,0.476812425084569,0.5083589690644581,0.4833800485833051,0.3470279200316872,0.33515163058876846,0.3892742250332334,0.3821594899965106,0.27193469850492147,0.32890933048719834,0.3445373840602327,0.4574278539800768,0.3621357567989447,0.36764912072390155,0.40916551332770773,0.4947865870241153,0.17178177104854062,0.38164209148196687,0.3405903298347665,0.4356569460236236,-0.01322823500042216,0.054040918906491854,0.28485915990293675,0.3555294538926777
tfidfTextConceptsAndRelationsCossim,-0.03383174344811408,-0.03297396349989993,-0.034008882873523855,-0.04424568014278931,0.45335685754977134,0.633804534830374,0.8032189070870929,0.7230101852357924,1.0,0.9956733842149814,0.9919875698090772,0.6130472908836206,0.5951856492718066,0.6632879649614813,0.3196856444111806,0.3620210618670222,0.35927394078539354,0.3900755018816629,0.2682751701119014,0.31550482162907784,0.3636278802008396,0.4605981616460435,0.4994937976416515,0.3250278911167013,0.4485905832960518,0.5483350962528786,0.6035499779373431,0.2509049444673707,0.37122454385595016,0.5242319921595078,0.6026459327332733,0.03231443092723977,0.057533298610366726,0.179512881845816,0.2598164264506376
tfidfTextConceptsCossim,-0.035281553999178566,-0.034776233236369275,-0.03674257898682376,-0.04180481217754449,0.45842848072693865,0.6428229443012319,0.7972706134198119,0.7245948921722678,0.9956733842149814,1.0,0.9904614094118743,0.6079626799085023,0.5939378663709028,0.6589341028922904,0.3143069981746344,0.36221763051570144,0.3605311697260265,0.39523429711088315,0.26931246122921987,0.3060887654265451,0.3635405636047812,0.4606254470323751,0.5056379152772393,0.32168599558749966,0.4420411588253837,0.5515569329771297,0.601975125144105,0.2528106580748439,0.3686885328915768,0.5277386223083937,0.5961268895310006,0.03715689652184539,0.06358945563976205,0.18082915014796822,0.2591876977530627
